time,x,y,z
1777654800.0011003,4.0,-1.0,-5.0
1777654800.0111003,3.0,-4.0,-3.0
1777654800.0211003,3.0,-3.0,-1.0
1777654800.0311005,0.0,1.0,3.0
1777654800.0411005,-2.0,5.0,9.0
1777654800.0511005,-6.0,2.0,8.0
1777654800.0611005,-5.0,0.0,4.0
1777654800.0711005,-4.0,0.0,8.0
1777654800.0811005,-4.0,0.0,5.0
1777654800.0911005,1.0,-1.0,4.0
1777654800.1011004,4.0,-3.0,0.0
1777654800.1111004,5.0,-1.0,1.0
1777654800.1211004,4.0,-2.0,2.0
1777654800.1311004,0.0,-2.0,4.0
1777654800.1411004,0.0,-4.0,0.0
1777654800.1511004,1.0,-5.0,-5.0
1777654800.1611004,3.0,-4.0,-3.0
1777654800.1711004,0.0,-6.0,-2.0
1777654800.1811004,0.0,-1.0,-1.0
1777654800.1911004,0.0,0.0,0.0
1777654800.2011003,4.0,0.0,4.0
1777654800.2111003,4.0,0.0,1.0
1777654800.2211003,3.0,-6.0,5.0
1777654800.2311003,4.0,-6.0,4.0
1777654800.2411003,3.0,-4.0,5.0
1777654800.2511003,6.0,-5.0,3.0
1777654800.2611003,11.0,-6.0,-1.0
1777654800.2711003,10.0,-6.0,3.0
1777654800.2811005,7.0,-7.0,1.0
1777654800.2911005,-2.0,-5.0,-2.0
1777654800.3011005,-4.0,-9.0,-3.0
1777654800.3111005,-4.0,-7.0,-4.0
1777654800.3211005,-3.0,-1.0,-3.0
1777654800.3311005,-4.0,-1.0,3.0
1777654800.3411005,-8.0,-7.0,3.0
1777654800.3511004,-5.0,-7.0,4.0
1777654800.3611004,-9.0,-3.0,5.0
1777654800.3711004,-5.0,1.0,0.0
1777654800.3811004,-3.0,2.0,-2.0
1777654800.3911004,-6.0,-1.0,6.0
1777654800.4011004,-2.0,0.0,10.0
1777654800.4111004,-2.0,1.0,3.0
1777654800.4211004,-3.0,1.0,4.0
1777654800.4311004,-2.0,2.0,1.0
1777654800.4411004,-6.0,3.0,-7.0
1777654800.4521005,-6.0,-1.0,-4.0
1777654800.4621005,-8.0,-4.0,0.0
1777654800.4721005,-9.0,-1.0,1.0
1777654800.4821005,-4.0,0.0,-1.0
1777654800.4921005,-8.0,1.0,-4.0
1777654800.5021005,-4.0,1.0,-2.0
1777654800.5121005,-6.0,0.0,-8.0
1777654800.5221004,-5.0,-1.0,-6.0
1777654800.5321004,-2.0,-2.0,-2.0
1777654800.5421004,-1.0,0.0,1.0
1777654800.5521004,1.0,2.0,7.0
1777654800.5621004,7.0,5.0,-1.0
1777654800.5721004,3.0,4.0,-2.0
1777654800.5821004,2.0,5.0,0.0
1777654800.5921004,1.0,3.0,2.0
1777654800.6021004,-1.0,1.0,2.0
1777654800.6121004,-1.0,-2.0,2.0
1777654800.6221004,0.0,-8.0,3.0
1777654800.6321003,2.0,-4.0,0.0
1777654800.6421003,1.0,-4.0,-1.0
1777654800.6521003,3.0,-4.0,-9.0
1777654800.6621003,7.0,-6.0,-11.0
1777654800.6721003,11.0,-4.0,-13.0
1777654800.6821003,7.0,0.0,-5.0
1777654800.6921003,4.0,2.0,-5.0
