time,x,y,z
1758726000.0126247,5,2,-73
1758726000.0506248,-1,8,-70
1758726000.0886247,9,10,-69
1758726000.1266248,3,3,-71
1758726000.1626248,-1,2,-64
1758726000.2006247,-5,8,-71
1758726000.2386248,0,-1,-71
1758726000.276625,1,3,-65
1758726000.3126247,-1,1,-69
1758726000.3516247,0,-2,-69
1758726000.388625,0,0,-74
1758726000.4266248,-1,0,-67
1758726000.4626248,-1,-3,-53
1758726000.5016248,7,-5,-64
1758726000.5386248,3,0,-73
1758726000.5766249,0,6,-77
1758726000.612625,0,4,-78
1758726000.6496248,2,5,-69
1758726000.6886249,5,0,-66
1758726000.7266247,9,-8,-57
1758726000.7626247,2,-6,-61
1758726000.7996247,8,-7,-64
1758726000.8386247,12,0,-60
1758726000.8746247,-2,5,-68
1758726000.911625,1,-1,-73
1758726000.9496248,8,-3,-76
1758726000.9886248,-5,-9,-65
1758726001.0246248,1,-3,-67
1758726001.0616248,5,1,-74
1758726001.0986247,1,0,-63
1758726001.1376247,6,3,-57
1758726001.1736248,5,-1,-53
1758726001.2116249,11,-7,-64
1758726001.2496247,0,2,-78
1758726001.2876248,3,5,-66
1758726001.3236248,4,0,-61
1758726001.362625,11,-1,-62
1758726001.3996248,3,0,-67
1758726001.4376247,4,-4,-58
1758726001.4746249,0,-9,-50
1758726001.5116248,0,-1,-68
1758726001.5496247,-1,-7,-70
1758726001.5886247,-5,-6,-59
1758726001.6246247,-4,0,-60
1758726001.6626248,3,0,-65
1758726001.6996248,2,-1,-69
1758726001.7386248,3,-3,-67
1758726001.7746248,-7,-4,-60
1758726001.8126247,0,-4,-59
1758726001.8506248,0,-10,-60
1758726001.8896248,0,3,-70
1758726001.9276247,-10,8,-63
1758726001.9636247,-3,4,-67
1758726002.000625,0,2,-75
1758726002.0386248,1,0,-66
1758726002.0746248,0,-4,-59
1758726002.112625,0,-8,-58
1758726002.1506248,-1,-1,-72
1758726002.1896248,-1,1,-67
1758726002.227625,0,-2,-77
1758726002.263625,0,0,-72
1758726002.3006248,9,-1,-69
1758726002.339625,4,3,-64
1758726002.3776248,5,0,-54
1758726002.4136248,1,-1,-50
1758726002.4506247,2,-4,-54
1758726002.4896247,-9,0,-55
1758726002.5276248,0,0,-52
1758726002.5636249,3,3,-56
1758726002.6006248,0,1,-63
1758726002.638625,-1,-1,-78
1758726002.6746247,-4,-2,-77
1758726002.7126248,-9,-4,-74
1758726002.750625,0,-6,-71
1758726002.7896247,-5,-9,-78
1758726002.8276248,3,-6,-73
1758726002.8636248,0,-3,-62
1758726002.9006248,2,1,-73
1758726002.9386249,-5,2,-73
1758726002.9746249,4,0,-68
1758726003.0116248,5,-3,-57
1758726003.0506248,-1,-3,-57
1758726003.0886247,7,0,-55
1758726003.1246247,6,0,-60
1758726003.161625,1,-3,-70
1758726003.2006247,-5,1,-57
1758726003.2386248,-6,0,-57
1758726003.2746248,0,2,-66
1758726003.3126247,-2,0,-57
1758726003.3506248,0,-1,-67
1758726003.3896248,1,-2,-62
1758726003.4256248,0,-2,-73
1758726003.4636247,2,1,-66
1758726003.500625,6,-5,-70
1758726003.5396247,6,-6,-67
1758726003.5756247,6,-3,-68
1758726003.6136248,0,-2,-50
1758726003.651625,-4,-4,-74
1758726003.6906247,-3,-2,-56
1758726003.7286248,6,-5,-58
1758726003.7646248,3,-7,-69
1758726003.8026247,1,-1,-79
1758726003.839625,6,0,-69
1758726003.878625,4,-1,-65
1758726003.9146247,2,3,-59
1758726003.9516249,5,1,-57
1758726003.990625,1,3,-61
1758726004.0286248,0,6,-65
1758726004.0646248,-5,5,-69
1758726004.102625,3,-1,-70
1758726004.1406248,3,-3,-69
1758726004.1786249,5,-6,-63
1758726004.214625,4,-2,-62
1758726004.2516248,-5,0,-63
1758726004.2906249,-8,0,-70
1758726004.3286247,-4,6,-79
1758726004.3646247,-9,0,-82
1758726004.4036248,4,-1,-72
1758726004.4406247,5,-6,-69
1758726004.4796247,9,1,-65
1758726004.5156248,2,-7,-63
1758726004.5536249,-1,-5,-66
1758726004.5916247,5,2,-74
1758726004.6296248,6,0,-64
1758726004.6656249,5,-1,-61
1758726004.7026248,5,-2,-55
1758726004.740625,2,-4,-64
1758726004.7796247,-1,-3,-52
1758726004.8156247,0,0,-66
1758726004.852625,2,0,-68
1758726004.8906248,3,-3,-59
1758726004.9286249,3,0,-60
1758726004.964625,4,4,-65
1758726005.0016248,4,-8,-80
1758726005.0406249,2,-4,-77
1758726005.0786247,1,-5,-66
1758726005.1146247,1,0,-66
1758726005.1526248,6,-6,-73
1758726005.1906247,1,0,-73
1758726005.2266247,-1,-8,-72
1758726005.2646248,-7,-3,-62
1758726005.3026247,-1,-3,-72
1758726005.3406248,0,-1,-72
1758726005.3796248,9,4,-66
1758726005.4156249,0,2,-77
1758726005.4526248,0,-3,-67
1758726005.490625,0,-6,-76
1758726005.5296247,1,-2,-78
1758726005.5656247,4,0,-74
1758726005.602625,8,1,-66
1758726005.6406248,3,-4,-69
1758726005.6766248,-2,-3,-70
1758726005.7156248,1,5,-63
1758726005.7526248,1,4,-65
1758726005.7906249,-5,2,-68
1758726005.8266249,-2,-5,-62
1758726005.865625,2,-1,-80
1758726005.9026248,4,0,-58
1758726005.9406247,1,-2,-71
1758726005.9766247,0,-5,-62
1758726006.0156248,-1,-4,-58
1758726006.0526247,2,-6,-57
1758726006.0916247,-2,-6,-57
1758726006.1296248,0,0,-56
1758726006.1656249,-3,0,-54
1758726006.2026248,3,-3,-72
1758726006.2416248,0,-4,-73
1758726006.2796247,7,-1,-76
1758726006.3156247,5,1,-71
1758726006.352625,-2,-3,-58
1758726006.3916247,4,-9,-75
1758726006.4296248,6,-6,-65
1758726006.4656248,0,-8,-67
1758726006.5026248,-3,-2,-71
1758726006.5416248,0,2,-66
1758726006.579625,11,0,-58
1758726006.615625,4,4,-70
1758726006.6526248,2,-7,-72
1758726006.6916249,6,-4,-62
1758726006.7296247,1,-4,-53
1758726006.7656248,-4,3,-57
1758726006.8026247,1,-4,-68
1758726006.8416247,6,-2,-62
1758726006.8796248,-1,2,-65
1758726006.9156249,10,3,-61
1758726006.9526248,7,10,-64
1758726006.990625,-4,8,-62
1758726007.026625,-6,6,-66
1758726007.0646248,-6,-2,-68
1758726007.102625,-3,3,-59
1758726007.1416247,3,-4,-56
1758726007.1796248,4,-6,-66
1758726007.2156248,3,-9,-71
1758726007.2526248,8,-2,-73
1758726007.2916248,3,0,-75
1758726007.3276248,3,-1,-69
1758726007.3646247,5,-3,-74
1758726007.4026248,5,7,-58
1758726007.4406247,1,10,-70
1758726007.4766247,-5,7,-66
1758726007.5146248,2,-4,-62
1758726007.5516248,4,-7,-75
1758726007.5906248,7,-9,-75
1758726007.6266248,6,-10,-68
1758726007.6646247,8,-2,-67
1758726007.7016249,9,3,-60
1758726007.737625,0,-2,-60
1758726007.7756248,-2,4,-62
1758726007.8126247,4,4,-82
